Title,Price,Odometer,Transmission,Engine
2021 SKODA Kamiq 110TSI Monte Carlo Auto FWD MY21,"$43,990 ","2,500 km",Automatic,4cyl 1.5L Turbo Petrol
2016 Hyundai Tucson Active X Auto 2WD MY17,"$27,888* ","112,663 km",Automatic,4cyl 2.0L Petrol
2010 BMW X5 xDrive40d Sport E70 Auto 4x4 MY11,"$27,500* ","140,100 km",Automatic,6cyl 3.0L Turbo Diesel
2017 Hyundai Kona Elite Auto 2WD MY18,"$26,555* ","66,727 km",Automatic,4cyl 2.0L Petrol
2014 Mercedes-Benz GL-Class GL350 BlueTEC Auto 4x4,"$79,950* ","36,500 km",Automatic,6cyl 3.0L Turbo Diesel
2014 Nissan QASHQAI Ti J11 Auto,"$24,999* ","57,101 km",Automatic,4cyl 2.0L Petrol
2013 Nissan X-TRAIL ST T31 Auto 2WD Series V,"$15,500* ","88,500 km",Automatic,4cyl 2.0L Petrol
2018 BMW X4 M40i G02 Auto 4x4,"$97,888 ","39,000 km",Automatic,6cyl 3.0L Turbo Petrol
2014 Land Rover Defender Manual 4x4 MY14,"$85,000* ","34,000 km",Manual,4cyl 2.2L Turbo Diesel
2019 BMW X4 xDrive30i M Sport G02 Auto 4x4,"$84,880* ","24,470 km",Automatic,4cyl 2.0L Turbo Petrol
2018 Toyota Landcruiser GXL Manual 4x4,"$89,990* ","72,000 km",Manual,8cyl 4.5L Turbo Diesel
2017 Toyota RAV4 Cruiser Auto AWD,"$33,888* ","82,380 km",Automatic,4cyl 2.5L Petrol
2021 Mazda MX-30 G20e Evolve DR Series Auto,"$37,877 ",,Automatic,4cyl 2.0L Petrol
2014 Jeep Grand Cherokee Laredo Auto 4x4 MY15,"$27,500* ","135,247 km",Automatic,6cyl 3.0L Turbo Diesel
2018 Suzuki Vitara S Turbo Auto 2WD,"$25,250* ","50,534 km",Automatic,4cyl 1.4L Turbo Petrol
2015 Fiat 500X Cross Plus Auto AWD,"$22,900* ","48,730 km",Automatic,4cyl 1.4L Turbo Petrol
2018 Land Rover Range Rover Sport TDV6 SE Auto 4x4 MY18,"$132,990* ","44,734 km",Automatic,6cyl 3.0L Turbo Diesel
2018 Toyota Landcruiser Prado VX Auto 4x4,"$75,000* ","49,000 km",Automatic,4cyl 2.8L Turbo Diesel
2016 BMW X1 sDrive20i F48 Auto,"$36,900 ","88,024 km",Automatic,4cyl 2.0L Turbo Petrol
2014 Volkswagen Tiguan 103TDI Pacific 5N Auto 4MOTION MY14,"$22,800* ","80,161 km",Automatic,4cyl 2.0L Turbo Diesel
2020 Ford Everest Titanium UA II Auto 4WD MY20.75,"$69,990* ","25,960 km",Automatic,4cyl 2.0L Turbo Diesel
2015 Mazda CX-3 Akari DK Auto,"$18,000* ","118,294 km",Automatic,4cyl 2.0L Petrol
2021 Mercedes-Benz GLS-Class GLS400 d Auto 4MATIC,"$178,888* ","12,100 km",Automatic,6cyl 2.9L Turbo Diesel
2015 Jeep Grand Cherokee SRT Auto 4x4 MY15,"$57,789* ","164,825 km",Automatic,8cyl 6.4L Petrol
2006 Land Rover Discovery 3 HSE Auto 4x4,"$27,990* ","244,400 km",Automatic,6cyl 2.7L Turbo Diesel
2011 Honda CR-V Manual 4WD MY11,"$10,990* ","226,067 km",Manual,4cyl 2.4L Petrol
2021 Audi Q5 45 TFSI Sport Auto quattro ultra MY21,"$97,888 ",288 km,Automatic,4cyl 2.0L Turbo Petrol
2019 Toyota Landcruiser Prado VX Auto 4x4,"$82,500* ","21,936 km",Automatic,4cyl 2.8L Turbo Diesel
2013 Toyota Landcruiser Sahara Auto 4x4 MY13,"$75,500* ","236,400 km",Automatic,8cyl 4.5L Turbo Diesel
2017 Ford Everest Trend UA Auto RWD,"$49,888* ","74,618 km",Automatic,5cyl 3.2L Turbo Diesel
2016 Volkswagen Tiguan 140TDI Highline 5N Auto 4MOTION MY17,"$32,990* ","119,173 km",Automatic,4cyl 2.0L Turbo Diesel
